system,f1_all,acc_all,p_all,r_all,f1_obf,acc_obf
Go (rule-based),0.6932,0.7273,0.7097,0.8302,0.4286,0.75
LogReg (наша),0.6771739130434783,0.7272727272727273,0.6780626780626781,0.772133526850508,0.43333333333333335,0.7647058823529411
SVM (наша),0.6771739130434783,0.7272727272727273,0.6780626780626781,0.772133526850508,0.45161290322580644,0.8235294117647058
RandomForest (наша),0.7373737373737375,0.803030303030303,0.7173913043478262,0.7902757619738752,0.48484848484848486,0.9411764705882353
rubert-sentiment,0.5168831168831168,0.5303030303030303,0.6220238095238095,0.6785195936139332,0.10526315789473684,0.11764705882352941
rubert-tiny-toxicity,0.6771739130434783,0.7272727272727273,0.6780626780626781,0.772133526850508,0.19047619047619047,0.23529411764705882
detoxify (BERT),0.5299145299145299,0.5454545454545454,0.6263414634146341,0.6879535558780843,0.19047619047619047,0.23529411764705882
substring (baseline),0.408955223880597,0.4090909090909091,0.625,0.6320754716981132,0.10526315789473684,0.11764705882352941
